journey_id,touchpoint_sequence,num_touchpoints,converted,revenue
124,Direct;Email;Direct;Email;Organic Search,5,0,0.0
125,Organic Search;Social Media,2,1,39.25
126,Paid Search;Direct,2,0,0.0
127,Social Media,1,0,0.0
128,Social Media,1,1,7.21
129,Social Media,1,0,0.0
130,Paid Search;Paid Search,2,0,0.0
131,Direct;Social Media,2,0,0.0
132,Paid Search;Paid Search;Direct,3,0,0.0
133,Direct,1,0,0.0
134,Display;Display;Display;Direct,4,0,0.0
135,Organic Search;Paid Search,2,0,0.0
136,Social Media;Organic Search,2,0,0.0
137,Direct,1,0,0.0
138,Social Media;Display;Paid Search,3,0,0.0
139,Paid Search;Display;Paid Search,3,0,0.0
140,Display;Display;Paid Search,3,0,0.0
141,Organic Search;Email;Display;Display;Social Media,5,1,125.87
142,Social Media;Social Media;Email;Paid Search,4,0,0.0
143,Social Media;Paid Search,2,1,24.99
144,Email;Email;Social Media;Paid Search;Direct,5,0,0.0
145,Organic Search;Paid Search,2,1,32.18
146,Paid Search;Paid Search,2,0,0.0
147,Organic Search;Direct,2,0,0.0
148,Paid Search,1,0,0.0
149,Direct,1,0,0.0
150,Organic Search;Paid Search,2,0,0.0
151,Display;Display;Social Media,3,0,0.0
152,Display;Social Media;Organic Search,3,0,0.0
153,Paid Search,1,0,0.0
154,Paid Search;Email;Email,3,0,0.0
155,Organic Search,1,0,0.0
156,Social Media;Email;Paid Search,3,0,0.0
157,Social Media;Organic Search;Paid Search,3,0,0.0
158,Social Media;Social Media;Organic Search;Email;Email;Email;Paid Search,7,0,0.0
159,Display;Direct,2,1,64.91
160,Organic Search,1,0,0.0
161,Direct;Social Media;Organic Search;Organic Search;Display;Direct,6,0,0.0
162,Organic Search,1,0,0.0
163,Paid Search;Social Media;Display,3,0,0.0
164,Organic Search;Paid Search;Organic Search;Paid Search;Organic Search;Paid Search,6,0,0.0
165,Organic Search;Social Media;Email;Social Media;Social Media;Email;Direct,7,0,0.0
166,Display;Social Media;Display;Paid Search,4,0,0.0
167,Paid Search,1,0,0.0
168,Direct,1,0,0.0
169,Social Media,1,0,0.0
170,Display;Email;Email;Social Media;Display;Display;Display;Display;Email;Social Media;Direct,11,0,0.0
171,Direct;Direct;Display;Social Media;Email;Email;Display;Email;Direct,9,0,0.0
172,Organic Search;Organic Search;Paid Search,3,0,0.0
173,Direct,1,0,0.0
174,Social Media,1,0,0.0
175,Organic Search,1,0,0.0
176,Paid Search;Social Media;Direct,3,0,0.0
177,Organic Search;Email;Display,3,1,50.59
178,Organic Search;Organic Search;Email;Direct,4,0,0.0
179,Organic Search;Organic Search;Paid Search,3,1,28.24
180,Paid Search;Organic Search;Social Media;Direct,4,0,0.0
181,Organic Search,1,0,0.0
182,Organic Search;Paid Search;Direct,3,0,0.0
183,Direct;Display,2,0,0.0
184,Organic Search;Display;Email;Paid Search;Email;Display;Paid Search,7,0,0.0
185,Direct,1,0,0.0
186,Paid Search,1,0,0.0
187,Organic Search;Direct,2,1,27.53
188,Email;Paid Search,2,0,0.0
189,Organic Search,1,0,0.0
190,Direct,1,1,16.4
191,Organic Search;Social Media,2,0,0.0
192,Paid Search,1,0,0.0
193,Direct;Email,2,0,0.0
194,Organic Search;Paid Search;Paid Search;Direct;Organic Search,5,0,0.0
195,Email;Paid Search;Email;Paid Search,4,0,0.0
196,Organic Search,1,0,0.0
197,Social Media;Paid Search;Paid Search;Email,4,0,0.0
198,Organic Search,1,0,0.0
199,Paid Search;Paid Search;Display;Email,4,0,0.0
200,Paid Search;Display,2,0,0.0
201,Social Media,1,0,0.0
202,Organic Search;Display;Paid Search,3,0,0.0
203,Organic Search;Direct;Paid Search,3,0,0.0
204,Organic Search;Display;Email;Paid Search;Direct,5,1,92.04
205,Organic Search;Organic Search,2,0,0.0
206,Paid Search,1,0,0.0
207,Direct,1,0,0.0
208,Direct,1,0,0.0
209,Display;Direct;Direct,3,0,0.0
210,Organic Search,1,0,0.0
211,Organic Search;Display;Social Media;Social Media,4,1,12.26
212,Email;Organic Search;Direct,3,0,0.0
213,Organic Search,1,0,0.0
214,Organic Search,1,1,24.9
215,Display;Social Media;Display;Organic Search;Social Media;Social Media;Social Media;Email;Direct,9,0,0.0
216,Direct;Paid Search,2,0,0.0
217,Direct,1,0,0.0
218,Paid Search,1,0,0.0
219,Social Media;Email;Email;Display;Paid Search,5,0,0.0
220,Organic Search,1,0,0.0
221,Organic Search;Display;Paid Search;Direct,4,0,0.0
222,Organic Search,1,1,17.73
223,Organic Search,1,0,0.0
224,Email;Direct,2,0,0.0
225,Display,1,0,0.0
226,Paid Search;Social Media;Organic Search;Display;Email;Organic Search;Direct;Email;Direct,9,0,0.0
227,Direct;Paid Search;Organic Search,3,0,0.0
228,Organic Search,1,0,0.0
229,Paid Search;Direct;Direct,3,1,30.67
230,Organic Search;Direct,2,0,0.0
231,Organic Search;Social Media;Email;Direct,4,0,0.0
232,Paid Search;Display,2,0,0.0
233,Social Media;Paid Search,2,0,0.0
234,Paid Search,1,0,0.0
235,Social Media;Direct,2,0,0.0
236,Paid Search;Display,2,0,0.0
237,Organic Search;Direct,2,0,0.0
238,Direct;Display;Paid Search,3,1,48.16
239,Direct,1,0,0.0
240,Display,1,0,0.0
241,Organic Search;Email;Email;Display,4,0,0.0
242,Organic Search,1,0,0.0
243,Organic Search;Paid Search,2,1,49.82
244,Organic Search;Organic Search,2,1,27.1
245,Organic Search;Display;Direct,3,0,0.0
246,Direct;Display;Email;Display;Social Media,5,1,130.8
247,Organic Search,1,0,0.0
248,Paid Search;Organic Search;Direct,3,0,0.0
249,Organic Search;Display;Organic Search,3,0,0.0
250,Email;Paid Search;Direct,3,0,0.0
251,Organic Search;Paid Search;Direct,3,0,0.0
252,Organic Search;Paid Search;Paid Search,3,0,0.0
253,Paid Search;Organic Search,2,0,0.0
254,Display;Organic Search;Email;Organic Search,4,0,0.0
255,Direct;Social Media;Direct,3,0,0.0
256,Paid Search;Organic Search,2,0,0.0
257,Email,1,0,0.0
258,Organic Search,1,0,0.0
259,Direct;Organic Search;Social Media;Email;Paid Search;Email;Paid Search;Organic Search;Email;Email;Paid Search;Organic Search,12,0,0.0
260,Social Media,1,0,0.0
261,Organic Search;Organic Search,2,1,43.64
262,Display;Paid Search;Email;Social Media;Direct,5,1,44.13
263,Social Media;Social Media;Display;Paid Search,4,0,0.0
264,Direct,1,0,0.0
265,Direct;Email;Email;Display;Email,5,0,0.0
266,Paid Search;Social Media,2,0,0.0
267,Organic Search,1,0,0.0
268,Organic Search,1,0,0.0
269,Paid Search,1,0,0.0
270,Paid Search;Direct,2,1,28.91
271,Paid Search,1,0,0.0
272,Paid Search;Direct;Organic Search,3,1,12.5
273,Organic Search;Paid Search;Social Media,3,1,14.06
274,Social Media;Direct,2,0,0.0
275,Paid Search;Social Media;Paid Search;Social Media,4,0,0.0
276,Display;Paid Search,2,0,0.0
277,Organic Search;Social Media;Paid Search;Social Media;Social Media;Organic Search;Paid Search;Social Media;Direct,9,1,19.7
278,Social Media;Social Media,2,1,31.61
279,Organic Search;Email;Social Media;Display;Organic Search;Paid Search;Organic Search;Display,8,1,23.95
280,Organic Search;Paid Search;Social Media;Display;Email;Organic Search,6,0,0.0
281,Organic Search,1,0,0.0
282,Paid Search,1,0,0.0
283,Organic Search;Display;Paid Search;Paid Search,4,0,0.0
284,Display;Paid Search;Direct;Paid Search,4,0,0.0
285,Display;Paid Search,2,0,0.0
286,Organic Search;Paid Search;Direct;Organic Search,4,1,70.07
287,Organic Search;Email;Direct,3,0,0.0
288,Display;Social Media;Social Media;Email;Direct;Display;Social Media,7,0,0.0
289,Direct,1,0,0.0
290,Organic Search;Display;Email;Social Media;Direct,5,1,68.17
291,Paid Search;Direct;Organic Search,3,1,48.41
292,Display;Organic Search;Email;Organic Search,4,0,0.0
293,Organic Search;Social Media;Paid Search,3,0,0.0
294,Paid Search;Paid Search;Display;Email,4,0,0.0
295,Paid Search;Email;Display;Social Media;Email;Email;Display;Social Media;Email;Social Media;Paid Search;Social Media,12,1,57.62
296,Social Media;Paid Search,2,1,28.19
297,Social Media;Direct,2,0,0.0
298,Organic Search;Paid Search,2,0,0.0
299,Organic Search;Paid Search,2,0,0.0
300,Organic Search,1,0,0.0
301,Organic Search;Direct,2,0,0.0
302,Paid Search;Paid Search,2,0,0.0
303,Organic Search;Social Media;Social Media;Direct,4,0,0.0
304,Paid Search,1,0,0.0
305,Direct;Email;Social Media;Direct,4,0,0.0
306,Organic Search;Social Media,2,0,0.0
307,Display;Display;Social Media,3,0,0.0
308,Direct,1,0,0.0
309,Direct;Direct,2,0,0.0
310,Paid Search;Paid Search,2,0,0.0
311,Social Media;Direct,2,0,0.0
312,Direct,1,0,0.0
313,Paid Search;Display;Display;Display;Organic Search;Display;Display;Paid Search,8,0,0.0
314,Email,1,0,0.0
315,Direct,1,0,0.0
316,Direct,1,0,0.0
317,Direct;Direct;Organic Search,3,0,0.0
318,Direct;Email;Display;Paid Search,4,0,0.0
319,Direct;Organic Search,2,0,0.0
320,Display,1,0,0.0
321,Organic Search;Paid Search,2,0,0.0
322,Organic Search;Social Media;Paid Search,3,0,0.0
323,Direct,1,0,0.0
324,Organic Search;Organic Search,2,0,0.0
325,Organic Search;Email,2,0,0.0
326,Direct,1,0,0.0
327,Direct,1,1,12.25
328,Paid Search;Social Media;Organic Search;Paid Search,4,0,0.0
329,Organic Search;Email;Social Media,3,1,39.62
330,Direct,1,0,0.0
331,Organic Search;Organic Search;Social Media,3,0,0.0
332,Social Media;Organic Search;Display;Direct,4,1,28.95
333,Direct,1,0,0.0
334,Email,1,0,0.0
335,Organic Search;Social Media;Direct;Direct,4,0,0.0
336,Paid Search;Social Media;Direct,3,0,0.0
337,Paid Search;Display;Organic Search;Email;Social Media;Direct,6,1,29.59
338,Email;Social Media;Organic Search;Display;Social Media,5,0,0.0
339,Organic Search;Display;Paid Search,3,0,0.0
340,Organic Search;Social Media;Organic Search;Organic Search,4,0,0.0
341,Organic Search;Email;Display;Email;Paid Search;Display;Organic Search;Display;Paid Search,9,0,0.0
342,Organic Search;Display;Display,3,0,0.0
343,Organic Search,1,0,0.0
344,Direct,1,0,0.0
345,Paid Search;Email,2,0,0.0
346,Direct;Paid Search,2,0,0.0
347,Organic Search,1,0,0.0
348,Direct,1,0,0.0
349,Paid Search;Email;Display;Direct,4,1,64.43
350,Organic Search,1,0,0.0
351,Email,1,0,0.0
352,Display;Email;Paid Search,3,0,0.0
353,Display;Display;Email;Paid Search;Email;Paid Search,6,1,38.44
354,Direct,1,0,0.0
355,Paid Search,1,0,0.0
356,Organic Search;Social Media;Display;Social Media;Organic Search,5,0,0.0
357,Direct;Email;Email,3,0,0.0
358,Organic Search,1,0,0.0
359,Email;Direct,2,0,0.0
360,Organic Search;Paid Search,2,0,0.0
361,Email;Paid Search,2,1,22.54
362,Email,1,0,0.0
363,Organic Search,1,0,0.0
364,Paid Search,1,0,0.0
365,Display;Direct,2,0,0.0
366,Organic Search,1,0,0.0
367,Email;Direct;Paid Search;Display;Direct,5,0,0.0
368,Social Media;Direct,2,0,0.0
369,Direct;Paid Search;Email;Paid Search;Direct,5,0,0.0
370,Organic Search,1,0,0.0
371,Social Media;Paid Search,2,0,0.0
372,Paid Search;Social Media;Direct;Paid Search,4,0,0.0
373,Paid Search;Organic Search;Organic Search,3,0,0.0
374,Organic Search;Organic Search;Paid Search;Social Media;Paid Search,5,0,0.0
375,Paid Search;Paid Search,2,0,0.0
376,Organic Search,1,0,0.0
377,Organic Search;Paid Search,2,0,0.0
378,Social Media;Organic Search;Organic Search;Direct,4,0,0.0
379,Social Media;Email;Organic Search,3,0,0.0
380,Paid Search;Email,2,0,0.0
381,Organic Search;Paid Search;Display,3,0,0.0
382,Organic Search,1,0,0.0
383,Email;Paid Search;Social Media;Paid Search;Social Media;Direct;Social Media;Paid Search;Paid Search;Social Media;Direct,11,0,0.0
384,Direct,1,1,28.55
385,Direct,1,0,0.0
386,Direct;Direct;Social Media;Social Media;Paid Search,5,0,0.0
387,Paid Search;Organic Search,2,1,43.61
388,Social Media;Paid Search,2,1,19.97
389,Social Media;Organic Search,2,0,0.0
390,Social Media;Direct,2,1,79.1
391,Display;Paid Search;Social Media,3,0,0.0
392,Display;Direct,2,0,0.0
393,Paid Search;Paid Search;Email;Display;Direct,5,1,47.65
394,Direct;Organic Search,2,0,0.0
395,Paid Search,1,0,0.0
396,Organic Search;Direct,2,1,84.42
397,Organic Search;Display;Paid Search;Direct,4,1,82.77
398,Paid Search;Social Media;Social Media;Email;Direct;Direct,6,0,0.0
399,Organic Search;Direct,2,0,0.0
400,Organic Search;Paid Search,2,0,0.0
401,Paid Search;Email;Organic Search;Display;Paid Search;Email;Organic Search;Direct,8,1,49.52
402,Organic Search;Organic Search;Email;Direct,4,0,0.0
403,Social Media;Paid Search,2,0,0.0
404,Direct,1,0,0.0
405,Organic Search,1,0,0.0
406,Paid Search;Social Media;Paid Search,3,0,0.0
407,Direct;Organic Search;Display;Social Media,4,0,0.0
408,Organic Search,1,0,0.0
409,Paid Search;Social Media;Direct,3,0,0.0
410,Organic Search;Email;Paid Search,3,1,18.51
411,Organic Search;Paid Search;Email;Organic Search,4,0,0.0
412,Organic Search,1,0,0.0
413,Social Media;Social Media;Paid Search;Paid Search,4,0,0.0
414,Paid Search;Email;Display;Paid Search;Paid Search,5,0,0.0
415,Direct,1,1,23.0
416,Direct;Social Media,2,0,0.0
417,Organic Search;Display;Paid Search,3,0,0.0
418,Direct;Direct;Direct,3,0,0.0
419,Organic Search;Social Media;Direct;Paid Search,4,0,0.0
420,Email;Paid Search,2,0,0.0
421,Social Media;Organic Search;Display;Direct,4,0,0.0
422,Direct;Paid Search,2,0,0.0
423,Organic Search,1,0,0.0
424,Organic Search,1,0,0.0
425,Display;Paid Search;Paid Search;Social Media;Display;Social Media,6,0,0.0
426,Social Media,1,0,0.0
427,Organic Search;Organic Search,2,0,0.0
428,Direct;Organic Search,2,0,0.0
429,Organic Search;Paid Search;Paid Search;Direct,4,1,30.99
430,Paid Search,1,0,0.0
431,Organic Search;Social Media;Paid Search;Display,4,1,14.21
432,Paid Search;Email;Email;Social Media;Direct,5,0,0.0
433,Display,1,0,0.0
434,Email;Direct;Direct;Paid Search,4,0,0.0
435,Display;Paid Search,2,0,0.0
436,Organic Search;Paid Search;Organic Search,3,0,0.0
437,Display;Organic Search;Display,3,0,0.0
438,Direct;Direct,2,1,32.82
439,Display;Organic Search,2,0,0.0
440,Email;Social Media;Paid Search;Organic Search,4,0,0.0
441,Display;Paid Search,2,0,0.0
442,Display;Direct;Email;Direct;Social Media;Display;Social Media;Direct,8,0,0.0
443,Organic Search,1,0,0.0
444,Email,1,0,0.0
445,Organic Search,1,0,0.0
446,Email;Paid Search;Social Media;Paid Search,4,1,56.83
447,Display,1,0,0.0
448,Paid Search;Paid Search;Social Media;Social Media,4,0,0.0
449,Direct;Direct,2,0,0.0
450,Social Media;Email;Organic Search;Social Media,4,0,0.0
451,Display;Social Media;Email;Organic Search,4,0,0.0
452,Direct,1,0,0.0
453,Paid Search,1,0,0.0
454,Display;Email;Social Media;Email;Direct,5,0,0.0
455,Direct;Direct,2,1,98.27
456,Email;Paid Search,2,0,0.0
457,Social Media,1,0,0.0
458,Direct,1,0,0.0
459,Organic Search;Direct,2,0,0.0
460,Paid Search;Social Media;Direct,3,0,0.0
461,Paid Search;Paid Search,2,0,0.0
462,Display;Display;Display;Paid Search;Email;Direct;Display;Email;Display,9,0,0.0
463,Social Media;Display;Email;Email;Display,5,1,16.53
464,Direct;Social Media;Email;Direct,4,0,0.0
465,Paid Search;Email;Direct,3,1,12.04
466,Organic Search;Social Media;Paid Search,3,0,0.0
467,Direct;Direct,2,0,0.0
468,Organic Search;Organic Search;Display;Email;Display;Direct,6,0,0.0
469,Direct,1,0,0.0
470,Direct;Email,2,0,0.0
471,Direct,1,0,0.0
472,Paid Search;Direct;Social Media;Display;Direct,5,0,0.0
473,Organic Search;Paid Search;Social Media;Direct,4,0,0.0
474,Organic Search;Paid Search;Organic Search;Social Media,4,0,0.0
475,Display,1,0,0.0
476,Organic Search,1,0,0.0
477,Direct;Email;Paid Search;Social Media;Paid Search,5,0,0.0
478,Social Media;Social Media;Direct,3,0,0.0
479,Display;Email;Display;Email,4,1,24.93
480,Organic Search;Display;Organic Search,3,0,0.0
481,Display,1,0,0.0
482,Paid Search;Display;Direct;Paid Search;Social Media;Email;Email;Social Media;Display;Organic Search,10,0,0.0
483,Display;Paid Search,2,0,0.0
484,Organic Search;Paid Search;Direct;Display;Paid Search;Email;Email;Email;Paid Search,9,1,74.41
485,Display,1,1,44.26
486,Paid Search,1,0,0.0
487,Organic Search;Paid Search;Social Media,3,0,0.0
488,Email,1,0,0.0
489,Organic Search,1,1,19.98
490,Direct;Display;Social Media;Email,4,0,0.0
491,Organic Search,1,0,0.0
492,Paid Search;Organic Search;Paid Search,3,0,0.0
493,Display,1,0,0.0
494,Email,1,0,0.0
495,Organic Search;Direct;Paid Search,3,1,50.24
496,Organic Search;Email;Email;Email;Social Media;Paid Search;Paid Search,7,0,0.0
497,Display;Social Media,2,0,0.0
498,Organic Search;Email;Email,3,0,0.0
499,Organic Search;Direct,2,0,0.0
500,Display;Paid Search;Display;Social Media;Email,5,1,22.58
501,Direct,1,0,0.0
502,Paid Search,1,0,0.0
503,Organic Search,1,0,0.0
504,Display,1,0,0.0
505,Organic Search,1,0,0.0
506,Organic Search;Organic Search;Direct;Display;Display,5,0,0.0
507,Direct;Direct,2,0,0.0
508,Display;Direct,2,0,0.0
509,Direct;Social Media;Email;Display;Direct,5,0,0.0
510,Paid Search,1,0,0.0
511,Organic Search,1,0,0.0
512,Paid Search,1,0,0.0
513,Display;Paid Search;Display;Social Media;Email;Social Media,6,0,0.0
514,Organic Search;Social Media;Social Media;Social Media;Email;Email;Display;Organic Search,8,0,0.0
515,Direct;Organic Search,2,0,0.0
516,Social Media,1,0,0.0
517,Display;Organic Search;Social Media,3,0,0.0
518,Direct,1,0,0.0
519,Organic Search;Organic Search,2,0,0.0
520,Organic Search;Organic Search;Direct,3,1,8.5
521,Email;Organic Search;Organic Search;Paid Search,4,0,0.0
522,Social Media,1,0,0.0
523,Paid Search;Paid Search;Social Media;Email;Social Media;Direct;Social Media;Organic Search,8,0,0.0
524,Social Media,1,0,0.0
525,Organic Search;Direct,2,0,0.0
526,Paid Search,1,0,0.0
527,Organic Search;Paid Search;Email;Organic Search,4,0,0.0
528,Organic Search;Social Media;Paid Search;Direct,4,1,106.52
529,Paid Search,1,1,50.61
530,Organic Search;Organic Search;Email;Direct,4,0,0.0
531,Display;Display;Paid Search,3,0,0.0
532,Social Media,1,0,0.0
533,Organic Search,1,0,0.0
534,Organic Search;Display;Email;Display;Direct,5,0,0.0
535,Paid Search,1,0,0.0
536,Organic Search,1,0,0.0
537,Organic Search;Paid Search;Email;Paid Search,4,0,0.0
538,Paid Search;Paid Search,2,0,0.0
539,Social Media;Organic Search;Direct,3,0,0.0
540,Direct;Organic Search;Display;Email;Paid Search;Direct,6,1,20.74
541,Direct;Paid Search;Social Media;Paid Search;Paid Search,5,1,33.31
542,Social Media;Direct,2,0,0.0
543,Direct,1,0,0.0
544,Organic Search;Direct,2,1,125.0
545,Social Media;Social Media;Display;Direct,4,1,40.91
546,Organic Search,1,0,0.0
547,Email,1,0,0.0
548,Social Media;Display;Direct,3,0,0.0
549,Display;Email;Paid Search,3,0,0.0
550,Organic Search,1,0,0.0
551,Paid Search,1,0,0.0
552,Organic Search;Email;Direct,3,0,0.0
553,Paid Search;Organic Search,2,0,0.0
554,Organic Search;Social Media;Paid Search;Paid Search;Social Media;Organic Search,6,1,21.52
555,Organic Search;Organic Search;Organic Search;Display;Paid Search,5,0,0.0
556,Paid Search;Email;Direct;Social Media;Organic Search;Paid Search;Display;Paid Search;Direct;Email;Organic Search;Direct,12,1,31.69
557,Paid Search,1,0,0.0
558,Display;Paid Search,2,1,30.91
559,Direct;Display;Email;Email,4,0,0.0
560,Display,1,0,0.0
561,Paid Search;Email;Paid Search,3,1,19.13
562,Paid Search,1,0,0.0
563,Paid Search;Social Media;Paid Search;Organic Search,4,0,0.0
564,Email,1,0,0.0
565,Paid Search;Social Media;Email;Email;Social Media,5,0,0.0
566,Direct;Social Media;Organic Search;Display,4,0,0.0
567,Email;Organic Search;Social Media;Email,4,1,11.1
568,Organic Search;Paid Search,2,0,0.0
569,Paid Search;Email;Social Media;Email;Display;Social Media;Social Media;Organic Search,8,0,0.0
570,Display,1,0,0.0
571,Direct,1,1,32.02
572,Paid Search;Social Media,2,0,0.0
573,Organic Search;Direct,2,0,0.0
574,Display;Organic Search;Paid Search,3,0,0.0
575,Organic Search;Email;Display;Social Media;Organic Search,5,0,0.0
576,Email,1,0,0.0
577,Email;Email;Display;Social Media;Social Media;Email,6,0,0.0
578,Organic Search;Organic Search;Display;Paid Search;Display;Display;Social Media;Email;Organic Search;Social Media;Social Media;Social Media,12,1,122.4
579,Paid Search,1,0,0.0
580,Paid Search;Display;Organic Search,3,0,0.0
581,Organic Search;Social Media,2,0,0.0
582,Organic Search,1,0,0.0
583,Social Media;Paid Search;Organic Search;Social Media;Email;Display;Paid Search,7,1,34.99
584,Direct;Email;Paid Search,3,1,81.68
585,Direct;Display;Display;Direct;Paid Search;Email;Direct,7,1,102.6
586,Social Media,1,0,0.0
587,Direct,1,1,26.37
588,Paid Search;Display;Email;Display;Direct;Social Media;Paid Search,7,0,0.0
589,Email,1,0,0.0
590,Direct;Email;Direct,3,0,0.0
591,Paid Search,1,0,0.0
592,Direct;Display;Email;Display;Display;Direct,6,0,0.0
593,Social Media,1,0,0.0
594,Display;Organic Search,2,0,0.0
595,Paid Search,1,0,0.0
596,Organic Search;Organic Search;Social Media;Direct,4,0,0.0
597,Social Media;Paid Search;Organic Search;Email;Paid Search;Display,6,0,0.0
598,Display;Email;Email;Paid Search;Email;Social Media;Paid Search;Display;Social Media;Paid Search,10,0,0.0
